Name,Hex (RGB),Red (RGB),Green (RGB),Blue (RGB),Hue (HSL/HSV),Saturation (HSL),Light (HSL),Saturation (HSV),Value (HSV)
Big dip o’ruby ,#9C2542 ,61.00%,15.00%,26.00%,345° ,62.00%,38.00%,76.00%,61.00%
Bisque ,#FFE4C4 ,100.00%,89.00%,77.00%,33° ,100.00%,88.00%,23.00%,100.00%
Bistre ,#3D2B1F ,24.00%,17.00%,12.00%,24° ,33.00%,18.00%,49.00%,24.00%
Bistre brown ,#967117 ,59.00%,44.00%,9.00%,43° ,73.00%,34.00%,85.00%,59.00%
Bitter lemon ,#CAE00D ,79.00%,88.00%,5.00%,66° ,89.00%,47.00%,94.00%,88.00%
Black ,#000000 ,0.00%,0.00%,0.00%,—° ,0.00%,0.00%,0.00%,0.00%
Black bean ,#3D0C02 ,24.00%,5.00%,1.00%,10° ,94.00%,12.00%,97.00%,24.00%
Black coral ,#54626F ,33.00%,38.00%,44.00%,209° ,14.00%,38.00%,24.00%,44.00%
Black olive ,#3B3C36 ,23.00%,24.00%,21.00%,70° ,5.00%,22.00%,10.00%,24.00%
Black Shadows ,#BFAFB2 ,75.00%,69.00%,70.00%,349° ,11.00%,72.00%,8.00%,75.00%
Blanched almond ,#FFEBCD ,100.00%,92.00%,80.00%,36° ,100.00%,90.00%,20.00%,100.00%
Blast-off bronze ,#A57164 ,65.00%,44.00%,39.00%,12° ,27.00%,52.00%,39.00%,65.00%
Bleu de France ,#318CE7 ,19.00%,55.00%,91.00%,210° ,79.00%,55.00%,79.00%,91.00%
Blizzard blue ,#ACE5EE ,67.00%,90.00%,93.00%,188° ,66.00%,80.00%,28.00%,93.00%
Blood red ,#660000 ,40.00%,0.00%,0.00%,0° ,100.00%,20.00%,100.00%,40.00%
Blue ,#0000FF ,0.00%,0.00%,100.00%,240° ,100.00%,50.00%,100.00%,100.00%
Blue (Crayola) ,#1F75FE ,12.00%,46.00%,100.00%,217° ,99.00%,56.00%,88.00%,100.00%
Blue (Munsell) ,#0093AF ,0.00%,58.00%,69.00%,190° ,100.00%,34.00%,100.00%,69.00%
Blue (NCS) ,#0087BD ,0.00%,53.00%,74.00%,197° ,100.00%,37.00%,100.00%,74.00%
Blue (Pantone) ,#0018A8 ,0.00%,9.00%,66.00%,231° ,100.00%,33.00%,100.00%,66.00%
Blue (pigment) ,#333399 ,20.00%,20.00%,60.00%,240° ,50.00%,40.00%,67.00%,60.00%
Blue bell ,#A2A2D0 ,64.00%,64.00%,82.00%,240° ,33.00%,73.00%,22.00%,82.00%
Blue-gray (Crayola) ,#6699CC ,40.00%,60.00%,80.00%,210° ,50.00%,60.00%,50.00%,80.00%
Blue jeans ,#5DADEC ,36.00%,68.00%,93.00%,206° ,79.00%,65.00%,61.00%,93.00%
Blue sapphire ,#126180 ,7.00%,38.00%,50.00%,197° ,75.00%,29.00%,86.00%,50.00%
Blue-violet ,#8A2BE2 ,54.00%,17.00%,89.00%,271° ,76.00%,53.00%,81.00%,89.00%
Blue yonder ,#5072A7 ,31.00%,45.00%,65.00%,217° ,35.00%,48.00%,52.00%,65.00%
Bluetiful ,#3C69E7 ,24.00%,41.00%,91.00%,224° ,78.00%,57.00%,74.00%,91.00%
Blush ,#DE5D83 ,87.00%,36.00%,51.00%,342° ,66.00%,62.00%,58.00%,87.00%
Bole ,#79443B ,47.00%,27.00%,23.00%,9° ,34.00%,35.00%,51.00%,47.00%
Bone ,#E3DAC9 ,89.00%,85.00%,79.00%,39° ,32.00%,84.00%,11.00%,89.00%
Brick red ,#CB4154 ,80.00%,25.00%,33.00%,352° ,57.00%,53.00%,68.00%,80.00%
Bright lilac ,#D891EF ,85.00%,57.00%,94.00%,285° ,75.00%,75.00%,39.00%,94.00%
Bright yellow (Crayola) ,#FFAA1D ,100.00%,67.00%,11.00%,37° ,100.00%,56.00%,89.00%,100.00%
British racing green ,#004225 ,0.00%,26.00%,15.00%,154° ,100.00%,13.00%,100.00%,26.00%
Bronze ,#CD7F32 ,80.00%,50.00%,20.00%,30° ,61.00%,50.00%,76.00%,80.00%
Brown ,#964B00 ,59.00%,29.00%,0.00%,30° ,100.00%,29.00%,100.00%,59.00%
Brown sugar ,#AF6E4D ,69.00%,43.00%,30.00%,20° ,39.00%,49.00%,56.00%,69.00%
Bud green ,#7BB661 ,48.00%,71.00%,38.00%,102° ,37.00%,55.00%,47.00%,71.00%
Buff ,#FFC680 ,100.00%,78.00%,50.00%,33° ,100.00%,75.00%,50.00%,100.00%
Burgundy ,#800020 ,50.00%,0.00%,13.00%,345° ,100.00%,25.00%,100.00%,50.00%
Burlywood ,#DEB887 ,87.00%,72.00%,53.00%,34° ,57.00%,70.00%,39.00%,87.00%
Burnished brown ,#A17A74 ,63.00%,48.00%,45.00%,8° ,19.00%,54.00%,28.00%,63.00%
Burnt orange ,#CC5500 ,80.00%,33.00%,0.00%,25° ,100.00%,40.00%,100.00%,80.00%
Burnt sienna ,#E97451 ,91.00%,45.00%,32.00%,14° ,78.00%,62.00%,65.00%,91.00%
Burnt umber ,#8A3324 ,54.00%,20.00%,14.00%,9° ,59.00%,34.00%,74.00%,54.00%
Byzantine ,#BD33A4 ,74.00%,20.00%,64.00%,311° ,58.00%,47.00%,73.00%,74.00%
Byzantium ,#702963 ,44.00%,16.00%,39.00%,311° ,46.00%,30.00%,63.00%,44.00%
Cadet blue ,#5F9EA0 ,37.00%,62.00%,63.00%,182° ,26.00%,50.00%,41.00%,63.00%
Cadet grey ,#91A3B0 ,57.00%,64.00%,69.00%,205° ,16.00%,63.00%,18.00%,69.00%
Cadmium green ,#006B3C ,0.00%,42.00%,24.00%,154° ,100.00%,21.00%,100.00%,42.00%
Cadmium orange ,#ED872D ,93.00%,53.00%,18.00%,28° ,84.00%,55.00%,81.00%,93.00%
Café au lait ,#A67B5B ,65.00%,48.00%,36.00%,26° ,30.00%,50.00%,45.00%,65.00%
Café noir ,#4B3621 ,29.00%,21.00%,13.00%,30° ,39.00%,21.00%,56.00%,29.00%
Cambridge blue ,#A3C1AD ,64.00%,76.00%,68.00%,140° ,20.00%,70.00%,16.00%,76.00%
Camel ,#C19A6B ,76.00%,60.00%,42.00%,33° ,41.00%,59.00%,45.00%,76.00%
Cameo pink ,#EFBBCC ,94.00%,73.00%,80.00%,340° ,62.00%,84.00%,22.00%,94.00%
Canary ,#FFFF99 ,100.00%,100.00%,60.00%,60° ,100.00%,80.00%,40.00%,100.00%
Canary yellow ,#FFEF00 ,100.00%,94.00%,0.00%,56° ,100.00%,50.00%,100.00%,100.00%
Candy pink ,#E4717A ,89.00%,44.00%,48.00%,355° ,68.00%,67.00%,50.00%,89.00%
Cardinal ,#C41E3A ,77.00%,12.00%,23.00%,350° ,74.00%,44.00%,85.00%,77.00%
Caribbean green ,#00CC99 ,0.00%,80.00%,60.00%,165° ,100.00%,40.00%,100.00%,80.00%
Carmine ,#960018 ,59.00%,0.00%,9.00%,350° ,100.00%,29.00%,100.00%,59.00%
Carmine (M&P) ,#D70040 ,84.00%,0.00%,25.00%,342° ,100.00%,42.00%,100.00%,84.00%
Carnation pink ,#FFA6C9 ,100.00%,65.00%,79.00%,336° ,100.00%,83.00%,35.00%,100.00%
Carnelian ,#B31B1B ,70.00%,11.00%,11.00%,0° ,74.00%,40.00%,85.00%,70.00%
Carolina blue ,#56A0D3 ,34.00%,63.00%,83.00%,204° ,59.00%,58.00%,59.00%,83.00%
Carrot orange ,#ED9121 ,93.00%,57.00%,13.00%,33° ,85.00%,53.00%,86.00%,93.00%
Catawba ,#703642 ,44.00%,21.00%,26.00%,348° ,35.00%,33.00%,52.00%,44.00%
Cedar Chest ,#C95A49 ,79.00%,35.00%,29.00%,8° ,54.00%,54.00%,64.00%,79.00%
Celadon ,#ACE1AF ,67.00%,88.00%,69.00%,123° ,47.00%,78.00%,24.00%,88.00%
Celeste ,#B2FFFF ,70.00%,100.00%,100.00%,180° ,100.00%,85.00%,30.00%,100.00%
Cerise ,#DE3163 ,87.00%,19.00%,39.00%,343° ,72.00%,53.00%,78.00%,87.00%
Cerulean ,#007BA7 ,0.00%,48.00%,65.00%,196° ,100.00%,33.00%,100.00%,65.00%
Cerulean blue ,#2A52BE ,16.00%,32.00%,75.00%,224° ,64.00%,46.00%,78.00%,75.00%
Cerulean frost ,#6D9BC3 ,43.00%,61.00%,76.00%,208° ,42.00%,60.00%,44.00%,76.00%
Cerulean (Crayola) ,#1DACD6 ,11.00%,67.00%,84.00%,194° ,76.00%,48.00%,86.00%,84.00%
Cerulean (RGB) ,#0040FF ,0.00%,25.00%,100.00%,225° ,100.00%,50.00%,100.00%,100.00%
Champagne ,#F7E7CE ,97.00%,91.00%,81.00%,37° ,72.00%,89.00%,17.00%,97.00%
Champagne pink ,#F1DDCF ,95.00%,87.00%,81.00%,25° ,55.00%,88.00%,14.00%,95.00%
Charcoal ,#36454F ,21.00%,27.00%,31.00%,204° ,19.00%,26.00%,32.00%,31.00%
Charm pink ,#E68FAC ,90.00%,56.00%,67.00%,340° ,64.00%,73.00%,38.00%,90.00%
Chartreuse (web) ,#80FF00 ,50.00%,100.00%,0.00%,90° ,100.00%,50.00%,100.00%,100.00%
Cherry blossom pink ,#FFB7C5 ,100.00%,72.00%,77.00%,348° ,100.00%,86.00%,28.00%,100.00%
Chestnut ,#954535 ,58.00%,27.00%,21.00%,10° ,48.00%,40.00%,64.00%,58.00%
Chili red ,#E23D28 ,89.00%,24.00%,16.00%,5° ,76.00%,52.00%,183.00%,125.00%
China pink ,#DE6FA1 ,87.00%,44.00%,63.00%,333° ,63.00%,65.00%,50.00%,87.00%
Chinese red ,#AA381E ,67.00%,22.00%,12.00%,11° ,70.00%,39.00%,82.00%,67.00%
Chinese violet ,#856088 ,52.00%,38.00%,53.00%,296° ,17.00%,46.00%,29.00%,53.00%
Chinese yellow ,#FFB200 ,100.00%,70.00%,0.00%,42° ,100.00%,50.00%,100.00%,100.00%
Chocolate (traditional) ,#7B3F00 ,48.00%,25.00%,0.00%,31° ,100.00%,24.00%,100.00%,48.00%
Chocolate (web) ,#D2691E ,82.00%,41.00%,12.00%,25° ,75.00%,47.00%,86.00%,82.00%
Cinereous ,#98817B ,60.00%,51.00%,48.00%,12° ,12.00%,54.00%,19.00%,60.00%
Cinnabar ,#E34234 ,89.00%,26.00%,20.00%,5° ,76.00%,55.00%,77.00%,89.00%
Cinnamon Satin ,#CD607E ,80.00%,38.00%,49.00%,343° ,52.00%,59.00%,53.00%,80.00%
Citrine ,#E4D00A ,89.00%,82.00%,4.00%,54° ,92.00%,47.00%,96.00%,89.00%
Citron ,#9FA91F ,62.00%,66.00%,12.00%,64° ,69.00%,39.00%,82.00%,66.00%
Claret ,#7F1734 ,50.00%,9.00%,20.00%,343° ,69.00%,29.00%,82.00%,50.00%
Coffee ,#6F4E37 ,44.00%,31.00%,22.00%,25° ,34.00%,33.00%,50.00%,44.00%
Columbia Blue ,#B9D9EB ,73.00%,85.00%,92.00%,202° ,56.00%,82.00%,21.00%,92.00%
Congo pink ,#F88379 ,97.00%,51.00%,47.00%,5° ,90.00%,72.00%,51.00%,97.00%
Cool grey ,#8C92AC ,55.00%,57.00%,67.00%,229° ,16.00%,61.00%,19.00%,67.00%
Copper ,#B87333 ,72.00%,45.00%,20.00%,29° ,57.00%,46.00%,72.00%,72.00%
Copper (Crayola) ,#DA8A67 ,85.00%,54.00%,40.00%,18° ,61.00%,63.00%,53.00%,85.00%
Copper penny ,#AD6F69 ,68.00%,44.00%,41.00%,5° ,29.00%,55.00%,39.00%,68.00%
Copper red ,#CB6D51 ,80.00%,43.00%,32.00%,14° ,54.00%,56.00%,60.00%,80.00%
Copper rose ,#996666 ,60.00%,40.00%,40.00%,0° ,20.00%,50.00%,33.00%,60.00%
Coquelicot ,#FF3800 ,100.00%,22.00%,0.00%,13° ,100.00%,50.00%,100.00%,100.00%
Coral ,#FF7F50 ,100.00%,50.00%,31.00%,16° ,100.00%,66.00%,69.00%,100.00%
Coral pink ,#F88379 ,97.00%,51.00%,47.00%,5° ,90.00%,72.00%,51.00%,97.00%
Cordovan ,#893F45 ,54.00%,25.00%,27.00%,355° ,37.00%,39.00%,54.00%,54.00%
Corn ,#FBEC5D ,98.00%,93.00%,36.00%,54° ,95.00%,68.00%,63.00%,98.00%
Cornflower blue ,#6495ED ,39.00%,58.00%,93.00%,219° ,79.00%,66.00%,58.00%,93.00%
Cornsilk ,#FFF8DC ,100.00%,97.00%,86.00%,48° ,100.00%,93.00%,14.00%,100.00%
Cosmic cobalt ,#2E2D88 ,18.00%,18.00%,53.00%,241° ,50.00%,36.00%,67.00%,53.00%
Cosmic latte ,#FFF8E7 ,100.00%,97.00%,91.00%,43° ,100.00%,95.00%,9.00%,100.00%
Coyote brown ,#81613C ,51.00%,38.00%,24.00%,32° ,37.00%,37.00%,52.00%,51.00%
Cotton candy ,#FFBCD9 ,100.00%,74.00%,85.00%,334° ,100.00%,87.00%,26.00%,100.00%
Cream ,#FFFDD0 ,100.00%,99.00%,82.00%,57° ,100.00%,91.00%,18.00%,100.00%
Crimson ,#DC143C ,86.00%,8.00%,24.00%,348° ,83.00%,47.00%,91.00%,86.00%
Crimson (UA) ,#9E1B32 ,62.00%,11.00%,20.00%,349° ,71.00%,36.00%,83.00%,62.00%
Cultured Pearl ,#F5F5F5 ,96.00%,96.00%,96.00%,—° ,0.00%,96.00%,0.00%,96.00%
Cyan ,#00FFFF ,0.00%,100.00%,100.00%,180° ,100.00%,50.00%,100.00%,100.00%
Cyan (process) ,#00B7EB ,0.00%,72.00%,92.00%,193° ,100.00%,46.00%,100.00%,92.00%
Cyber grape ,#58427C ,35.00%,26.00%,49.00%,263° ,31.00%,37.00%,47.00%,49.00%
Cyber yellow ,#FFD300 ,100.00%,83.00%,0.00%,50° ,100.00%,50.00%,100.00%,100.00%
Cyclamen ,#F56FA1 ,96.00%,44.00%,63.00%,338° ,87.00%,70.00%,54.00%,96.00%
Dandelion ,#FED85D ,100.00%,85.00%,36.00%,46° ,99.00%,68.00%,63.00%,100.00%
Dark brown ,#654321 ,40.00%,26.00%,13.00%,30° ,51.00%,26.00%,67.00%,40.00%
Dark byzantium ,#5D3954 ,36.00%,22.00%,33.00%,315° ,24.00%,29.00%,39.00%,36.00%
Dark cyan ,#008B8B ,0.00%,55.00%,55.00%,180° ,100.00%,27.00%,100.00%,55.00%
Dark electric blue ,#536878 ,33.00%,41.00%,47.00%,206° ,18.00%,40.00%,31.00%,47.00%
Dark goldenrod ,#B8860B ,72.00%,53.00%,4.00%,43° ,89.00%,38.00%,94.00%,72.00%
Dark green (X11) ,#006400 ,0.00%,39.00%,0.00%,120° ,100.00%,20.00%,100.00%,39.00%
Dark jungle green ,#1A2421 ,10.00%,14.00%,13.00%,162° ,16.00%,12.00%,28.00%,14.00%
Dark khaki ,#BDB76B ,74.00%,72.00%,42.00%,56° ,38.00%,58.00%,43.00%,74.00%
Dark lava ,#483C32 ,28.00%,24.00%,20.00%,27° ,18.00%,24.00%,31.00%,28.00%
Dark liver (horses) ,#543D37 ,33.00%,24.00%,22.00%,12° ,21.00%,27.00%,35.00%,33.00%
Dark magenta ,#8B008B ,55.00%,0.00%,55.00%,300° ,100.00%,27.00%,100.00%,55.00%
Dark olive green ,#556B2F ,33.00%,42.00%,18.00%,82° ,39.00%,30.00%,56.00%,42.00%
Dark orange ,#FF8C00 ,100.00%,55.00%,0.00%,33° ,100.00%,50.00%,100.00%,100.00%
Dark orchid ,#9932CC ,60.00%,20.00%,80.00%,280° ,61.00%,50.00%,75.00%,80.00%
Dark purple ,#301934 ,19.00%,10.00%,20.00%,291° ,35.00%,15.00%,51.00%,20.00%
Dark red ,#8B0000 ,55.00%,0.00%,0.00%,0° ,100.00%,27.00%,100.00%,55.00%
Dark salmon ,#E9967A ,91.00%,59.00%,48.00%,15° ,72.00%,70.00%,48.00%,91.00%
Dark sea green ,#8FBC8F ,56.00%,74.00%,56.00%,120° ,25.00%,65.00%,24.00%,74.00%
Dark sienna ,#3C1414 ,24.00%,8.00%,8.00%,0° ,50.00%,16.00%,67.00%,24.00%
Dark sky blue ,#8CBED6 ,55.00%,75.00%,84.00%,199° ,47.00%,69.00%,35.00%,84.00%
Dark slate blue ,#483D8B ,28.00%,24.00%,55.00%,248° ,39.00%,39.00%,56.00%,55.00%
Dark slate gray ,#2F4F4F ,18.00%,31.00%,31.00%,180° ,25.00%,25.00%,41.00%,31.00%
Dark spring green ,#177245 ,9.00%,45.00%,27.00%,150° ,66.00%,27.00%,80.00%,45.00%
Dark turquoise ,#00CED1 ,0.00%,81.00%,82.00%,181° ,100.00%,41.00%,100.00%,82.00%
Dark violet ,#9400D3 ,58.00%,0.00%,83.00%,282° ,100.00%,41.00%,100.00%,83.00%
Davy's grey ,#555555 ,33.00%,33.00%,33.00%,—° ,0.00%,33.00%,0.00%,33.00%
Deep cerise ,#DA3287 ,85.00%,20.00%,53.00%,330° ,69.00%,53.00%,77.00%,85.00%
Deep champagne ,#FAD6A5 ,98.00%,84.00%,65.00%,35° ,90.00%,81.00%,34.00%,98.00%
Deep chestnut ,#B94E48 ,73.00%,31.00%,28.00%,3° ,45.00%,50.00%,61.00%,73.00%
Deep jungle green ,#004B49 ,0.00%,29.00%,29.00%,178° ,100.00%,15.00%,100.00%,29.00%
Deep pink ,#FF1493 ,100.00%,8.00%,58.00%,328° ,100.00%,54.00%,92.00%,100.00%
Deep saffron ,#FF9933 ,100.00%,60.00%,20.00%,30° ,100.00%,60.00%,80.00%,100.00%
Deep sky blue ,#00BFFF ,0.00%,75.00%,100.00%,195° ,100.00%,50.00%,100.00%,100.00%
Deep Space Sparkle ,#4A646C ,29.00%,39.00%,42.00%,194° ,19.00%,36.00%,31.00%,42.00%
Deep taupe ,#7E5E60 ,49.00%,37.00%,38.00%,356° ,15.00%,43.00%,25.00%,49.00%
Denim ,#1560BD ,8.00%,38.00%,74.00%,213° ,80.00%,41.00%,89.00%,74.00%
Denim blue ,#2243B6 ,13.00%,26.00%,71.00%,227° ,69.00%,42.00%,81.00%,71.00%
Desert ,#C19A6B ,76.00%,60.00%,42.00%,33° ,41.00%,59.00%,45.00%,76.00%
Desert sand ,#EDC9AF ,93.00%,79.00%,69.00%,25° ,63.00%,81.00%,26.00%,93.00%
Dim gray ,#696969 ,41.00%,41.00%,41.00%,—° ,0.00%,41.00%,0.00%,41.00%
Dodger blue ,#1E90FF ,12.00%,56.00%,100.00%,210° ,100.00%,56.00%,88.00%,100.00%
Drab dark brown ,#4A412A ,29.00%,25.00%,16.00%,43° ,28.00%,23.00%,43.00%,29.00%
Duke blue ,#00009C ,0.00%,0.00%,61.00%,240° ,100.00%,31.00%,100.00%,61.00%
Dutch white ,#EFDFBB ,94.00%,87.00%,73.00%,42° ,62.00%,84.00%,22.00%,94.00%
Ebony ,#555D50 ,33.00%,36.00%,31.00%,97° ,8.00%,34.00%,14.00%,36.00%
Ecru ,#C2B280 ,76.00%,70.00%,50.00%,45° ,35.00%,63.00%,34.00%,76.00%
Eerie black ,#1B1B1B ,11.00%,11.00%,11.00%,—° ,0.00%,11.00%,0.00%,11.00%
Eggplant ,#614051 ,38.00%,25.00%,32.00%,329° ,21.00%,32.00%,34.00%,38.00%
Eggshell ,#F0EAD6 ,94.00%,92.00%,84.00%,46° ,46.00%,89.00%,11.00%,94.00%
Electric lime ,#CCFF00 ,80.00%,100.00%,0.00%,72° ,100.00%,50.00%,100.00%,100.00%
Electric purple ,#BF00FF ,75.00%,0.00%,100.00%,285° ,100.00%,50.00%,100.00%,100.00%
Electric violet ,#8F00FF ,56.00%,0.00%,100.00%,274° ,100.00%,50.00%,100.00%,100.00%
Emerald ,#50C878 ,31.00%,78.00%,47.00%,140° ,52.00%,55.00%,60.00%,78.00%
Eminence ,#6C3082 ,42.00%,19.00%,51.00%,284° ,46.00%,35.00%,63.00%,51.00%
English lavender ,#B48395 ,71.00%,51.00%,58.00%,338° ,25.00%,61.00%,27.00%,71.00%
English red ,#AB4B52 ,67.00%,29.00%,32.00%,356° ,39.00%,48.00%,56.00%,67.00%
English vermillion ,#CC474B ,80.00%,28.00%,29.00%,358° ,57.00%,54.00%,65.00%,80.00%
English violet ,#563C5C ,34.00%,24.00%,36.00%,289° ,21.00%,30.00%,35.00%,36.00%
Erin ,#00FF40 ,0.00%,100.00%,25.00%,135° ,100.00%,50.00%,100.00%,100.00%
Eton blue ,#96C8A2 ,59.00%,78.00%,64.00%,134° ,31.00%,69.00%,25.00%,78.00%
Fallow ,#C19A6B ,76.00%,60.00%,42.00%,33° ,41.00%,59.00%,45.00%,76.00%
Falu red ,#801818 ,50.00%,9.00%,9.00%,0° ,68.00%,30.00%,81.00%,50.00%
Fandango ,#B53389 ,71.00%,20.00%,54.00%,320° ,56.00%,46.00%,72.00%,71.00%
Fandango pink ,#DE5285 ,87.00%,32.00%,52.00%,338° ,68.00%,60.00%,63.00%,87.00%
Fawn ,#E5AA70 ,90.00%,67.00%,44.00%,30° ,69.00%,67.00%,51.00%,90.00%
Fern green ,#4F7942 ,31.00%,47.00%,26.00%,106° ,29.00%,37.00%,45.00%,47.00%
Field drab ,#6C541E ,42.00%,33.00%,12.00%,42° ,57.00%,27.00%,72.00%,42.00%
Fiery rose ,#FF5470 ,100.00%,33.00%,44.00%,350° ,100.00%,67.00%,67.00%,100.00%
Finn ,#683068 ,41.00%,19.00%,41.00%,300° ,37.00%,30.00%,54.00%,41.00%
Firebrick ,#B22222 ,70.00%,13.00%,13.00%,0° ,68.00%,42.00%,81.00%,70.00%
Fire engine red ,#CE2029 ,81.00%,13.00%,16.00%,357° ,73.00%,47.00%,84.00%,81.00%
Flame ,#E25822 ,89.00%,35.00%,13.00%,17° ,77.00%,51.00%,85.00%,89.00%
Flax ,#EEDC82 ,93.00%,86.00%,51.00%,50° ,76.00%,72.00%,45.00%,93.00%
Flirt ,#A2006D ,64.00%,0.00%,43.00%,320° ,100.00%,32.00%,100.00%,64.00%
